customer_id,recency,frequency,monetary,total_quantity,unique_products,country
12426.0,206,1,762.48,326,47,Germany
12429.0,90,2,1407.3600000000001,750,25,Denmark
12431.0,7,11,3646.52,1583,116,Belgium
12433.0,20,1,152.4,508,8,Norway
12435.0,21,3,3575.2,1875,44,Denmark
12437.0,2,13,5681.64,3945,181,France
12439.0,226,2,1142.88,478,69,Cyprus
12440.0,6,2,859.2,331,21,Austria
12443.0,276,1,485.31,182,21,Norway
12450.0,18,1,148.42000000000002,110,11,Spain
12451.0,7,3,3634.36,2784,147,Switzerland
12455.0,121,3,2929.95,922,110,Cyprus
12458.0,31,1,380.61,284,20,Switzerland
12459.0,149,1,454.36,258,23,Spain
12460.0,0,1,326.65,170,18,Belgium
12466.0,226,1,56.73,1,1,France
12468.0,70,3,2941.2,1835,102,Germany
12469.0,66,2,3070.54,2552,76,Thailand
12470.0,233,1,211.95,95,23,Unspecified
12471.0,1,35,12457.11,5256,120,Germany
12472.0,16,10,7630.15,4946,234,Germany
12474.0,22,7,2071.52,1298,108,Germany
12476.0,45,1,1231.74,628,68,Germany
12477.0,69,2,4485.86,1655,173,Germany
12480.0,51,1,451.9,271,27,Germany
12481.0,150,2,3275.6,2109,51,Germany
12482.0,120,29,23691.4,27042,42,Sweden
12483.0,92,6,1329.7,528,26,Sweden
12484.0,27,6,1826.78,1079,110,Spain
12485.0,73,1,708.1,414,34,Sweden
12487.0,274,1,285.29999999999995,174,2,Sweden
12490.0,3,9,3490.19,2384,98,France
12494.0,120,1,344.87,204,20,France
12495.0,184,1,357.4,130,17,Sweden
12496.0,164,2,45.34,30,10,Spain
12497.0,188,1,1211.76,893,17,Germany
12499.0,104,1,393.72,302,27,Germany
12500.0,66,7,1472.54,613,60,Germany
12503.0,128,1,1126.0,561,2,Spain
12504.0,140,1,134.4,121,6,Germany
12507.0,128,1,539.25,362,28,Spain
12510.0,3,7,4195.45,1696,85,Spain
12514.0,185,1,580.08,400,33,Italy
12516.0,143,1,689.46,512,25,Germany
12519.0,20,1,385.7,212,22,Germany
12523.0,46,8,1968.08,1055,86,France
12524.0,3,5,3859.38,2264,26,Germany
12525.0,42,3,973.73,509,56,France
12527.0,38,2,386.8,292,13,Germany
12529.0,72,1,316.48,192,21,France
12530.0,24,3,1166.74,906,46,Germany
12531.0,230,1,1807.98,1074,110,Germany
12533.0,171,2,1367.89,704,63,Germany
12539.0,260,2,5149.06,2128,104,Spain
12540.0,9,12,5483.29,2622,120,Spain
12542.0,28,2,481.88,522,39,Spain
12547.0,44,1,175.78,175,13,Spain
12549.0,119,6,1575.68,1366,38,USA
12555.0,226,1,129.23,1,1,Spain
12557.0,90,2,3661.2000000000003,1080,3,Spain
12567.0,31,4,1976.9,831,75,France
12568.0,188,1,70.0,48,5,Germany
12570.0,226,1,77.52,1,1,Spain
12573.0,9,1,152.01999999999998,73,9,France
12575.0,1,2,622.8199999999999,315,34,France
12576.0,2,2,555.62,266,32,Poland
12577.0,280,1,210.55,79,13,France
12580.0,120,1,637.2,331,34,Germany
12582.0,121,1,837.11,370,53,Finland
12583.0,25,8,4074.0499999999997,2194,65,France
12586.0,267,1,422.35,157,19,Italy
12588.0,141,1,328.9,172,17,Finland
12589.0,7,4,2989.0,680,75,France
12592.0,63,3,2145.06,1585,32,Germany
12594.0,1,3,777.54,618,30,Italy
12595.0,48,1,299.02,271,19,Germany
12598.0,7,3,1511.01,942,69,France
12599.0,15,3,746.96,784,30,France
12600.0,29,7,1539.92,439,27,Germany
12605.0,2,1,256.99,150,14,Germany
12606.0,226,1,21.0,1,1,Spain
12609.0,42,4,1467.56,579,49,Germany
12613.0,23,4,3022.85,2316,122,Germany
12615.0,48,2,2367.48,1285,105,France
12619.0,104,1,140.14,140,10,Germany
12621.0,14,10,6012.61,3806,112,Germany
12623.0,9,5,3080.59,1586,99,Germany
12625.0,53,2,2481.06,1697,85,Germany
12631.0,0,5,2841.07,1371,105,Finland
12632.0,64,2,804.88,694,32,Germany
12633.0,34,2,2905.48,1806,160,Germany
12634.0,79,2,490.0,337,20,USA
12635.0,0,1,731.33,540,49,Germany
12636.0,282,1,141.0,1,1,USA
12637.0,44,2,904.79,532,84,France
12638.0,183,1,249.8,86,9,Sweden
12639.0,171,1,253.57999999999998,145,15,Sweden
12643.0,98,3,2273.8,1221,10,France
12644.0,214,2,868.13,368,46,Germany
12645.0,8,3,1293.72,742,61,Germany
12647.0,0,21,11285.75,4441,188,Germany
12648.0,184,2,311.8,169,16,Germany
12649.0,127,3,781.8,436,37,Germany
12651.0,9,1,99.0,78,8,France
12653.0,70,1,1950.98,762,43,Israel
12656.0,43,2,1480.25,585,67,France
12662.0,29,6,1889.25,876,61,Germany
12663.0,168,2,239.4,181,9,Germany
12664.0,58,2,1188.16,292,4,Finland
12665.0,213,1,168.8,75,8,Germany
12668.0,111,4,4502.35,2165,187,Germany
12670.0,210,1,225.60000000000002,49,8,France
12671.0,150,1,2622.481,1460,45,Germany
12672.0,139,1,211.15,60,12,France
12675.0,97,2,957.25,336,111,Italy
12676.0,27,3,564.03,424,24,Sweden
12677.0,99,2,395.1,176,13,France
12678.0,7,7,11620.51,7902,108,France
12681.0,0,17,10743.67,6476,247,France
12682.0,0,16,8352.18,3750,155,France
12683.0,0,6,3157.13,2032,108,France
12687.0,24,2,2138.91,1403,126,Sweden
12692.0,181,1,110.95,36,13,France
12693.0,66,1,579.35,202,30,Germany
12695.0,72,3,825.02,234,28,France
12696.0,52,1,317.15,204,21,Finland
12698.0,134,1,339.75,111,16,Germany
12701.0,73,4,1648.7,1049,80,Germany
12703.0,177,3,722.98,431,44,Germany
12705.0,77,1,1544.87,1247,92,Germany
12708.0,0,7,2007.6000000000001,954,71,Germany
12709.0,45,15,16854.98,8582,152,Germany
12711.0,155,2,1339.05,770,56,Germany
12712.0,34,6,1639.31,878,75,Germany
12714.0,0,6,7832.62,4643,285,France
12717.0,134,1,277.93,94,16,Greece
12720.0,15,4,1327.59,857,78,Germany
12721.0,15,1,751.55,275,42,France
12724.0,49,2,973.56,795,54,France
12725.0,115,2,1228.95,706,48,Italy
12726.0,91,2,536.88,579,11,France
12727.0,91,2,1293.75,558,42,France
12730.0,65,1,829.25,234,47,Germany
12731.0,43,4,4784.3,2154,41,France
12733.0,41,2,1638.32,525,78,USA
12737.0,42,2,3710.5,2,2,France
12741.0,73,2,406.07,214,16,USA
12742.0,169,1,1201.52,1359,67,United Arab Emirates
12744.0,3,4,4037.77,1753,110,Singapore
12745.0,30,3,925.41,468,21,EIRE
12746.0,84,1,254.55,97,17,United Kingdom
12747.0,13,12,3259.9700000000003,892,59,United Kingdom
12748.0,0,74,11483.49,4709,760,United Kingdom
12749.0,65,1,832.9,279,40,United Kingdom
12755.0,48,6,1400.71,794,31,Japan
12758.0,3,5,7111.650000000001,4020,146,Portugal
12759.0,64,3,2200.13,1335,107,Netherlands
12761.0,1,2,782.95,281,27,Netherlands
12765.0,16,6,1404.58,1009,49,Netherlands
12770.0,0,1,1895.0,1100,16,Japan
12771.0,29,1,282.3,104,15,Portugal
12773.0,108,1,124.25,109,6,Portugal
12774.0,79,1,98.7,53,6,Netherlands
12776.0,211,1,55.5,46,4,Portugal
12777.0,1,1,519.45,458,26,United Kingdom
12778.0,146,1,378.6,366,27,Netherlands
12779.0,3,5,1942.8799999999999,1170,65,Poland
12780.0,142,1,337.4,285,20,Netherlands
12782.0,63,1,288.1,72,16,Portugal
12784.0,73,1,1230.33,582,72,Portugal
12785.0,79,2,788.45,322,36,Portugal
12786.0,153,1,728.5,324,18,Netherlands
12788.0,7,4,444.9,194,20,Netherlands
12789.0,56,2,181.5,32,2,Netherlands
12791.0,144,4,555.11,207,16,Netherlands
12792.0,78,1,426.47,177,22,Portugal
12796.0,172,1,381.0,182,7,Netherlands
12799.0,73,1,219.35,137,15,Japan
12800.0,14,3,584.25,284,31,Portugal
12801.0,44,1,1071.82,505,50,Sweden
12802.0,14,3,1604.43,1339,79,Netherlands
12804.0,9,2,325.37,270,60,Netherlands
12805.0,25,3,991.35,339,31,Netherlands
12806.0,43,3,2863.96,2086,58,Netherlands
12808.0,6,1,189.65,95,12,Portugal
12809.0,109,2,1266.63,298,52,Portugal
12810.0,78,2,534.99,389,32,Japan
12813.0,45,3,1687.8,1141,37,Netherlands
12819.0,2,1,540.52,344,19,United Kingdom
12820.0,48,5,1290.6299999999999,1054,72,United Kingdom
12821.0,155,1,128.07999999999998,92,7,United Kingdom
12823.0,7,10,2829.5,450,1,United Kingdom
12825.0,65,2,518.63,139,20,United Kingdom
12826.0,20,3,1066.73,695,46,United Kingdom
12829.0,94,1,92.30000000000001,174,8,United Kingdom
12831.0,7,2,236.06,168,13,United Kingdom
12835.0,14,38,5668.02,2212,134,United Kingdom
12836.0,14,9,2776.37,825,132,United Kingdom
12837.0,113,1,528.5600000000001,170,73,United Kingdom
12838.0,8,4,1178.85,622,39,United Kingdom
12839.0,13,9,2986.66,2048,101,United Kingdom
12840.0,93,2,641.69,388,35,United Kingdom
12841.0,8,4,731.59,441,44,United Kingdom
12842.0,281,1,397.20000000000005,168,3,United Kingdom
12843.0,9,17,4227.23,1854,74,United Kingdom
12844.0,137,1,123.03,37,21,United Kingdom
12846.0,226,1,15.58,1,1,United Kingdom
12848.0,219,1,208.0,58,16,United Kingdom
12849.0,135,1,464.8,200,27,United Kingdom
12851.0,21,1,148.95,51,30,United Kingdom
12853.0,44,4,1353.0,692,43,United Kingdom
12854.0,105,4,1654.72,1004,120,United Kingdom
12857.0,38,3,1474.0,677,38,United Kingdom
12859.0,2,1,575.1,292,21,United Kingdom
12860.0,237,1,54.22,26,16,United Kingdom
12861.0,163,1,68.25,27,4,United Kingdom
12862.0,39,1,490.73,360,73,United Kingdom
12863.0,63,4,1686.95,487,23,United Kingdom
12864.0,52,1,152.45,231,4,United Kingdom
12865.0,20,1,1043.15,689,62,Austria
12866.0,18,2,668.23,382,34,Belgium
12867.0,45,4,2205.63,2064,211,United Kingdom
12869.0,225,1,337.66999999999996,144,35,United Kingdom
12870.0,21,2,492.0,384,28,United Kingdom
12872.0,50,7,1989.16,1031,136,United Kingdom
12873.0,225,1,492.4,248,14,United Kingdom
12874.0,98,1,489.26,372,26,Belgium
12875.0,15,3,1013.76,3168,2,United Kingdom
12876.0,134,1,885.5400000000001,412,32,Belgium
12877.0,18,5,888.33,699,48,United Kingdom
12880.0,118,1,337.18,142,21,United Kingdom
12889.0,11,2,171.01,77,12,United Kingdom
12891.0,2,8,509.5,1375,2,United Kingdom
12894.0,119,1,157.35,33,21,United Kingdom
12897.0,87,1,104.15,27,6,United Kingdom
12898.0,7,2,296.21000000000004,235,27,United Kingdom
12905.0,120,2,1018.42,532,52,United Kingdom
12907.0,38,1,328.43,105,18,United Kingdom
12908.0,49,2,636.0,1200,1,United Kingdom
12909.0,108,2,586.61,467,34,United Kingdom
12910.0,37,2,1339.3799999999999,946,26,United Kingdom
12911.0,95,1,1651.72,807,220,United Kingdom
12913.0,114,5,1903.74,864,19,United Kingdom
12915.0,16,2,611.45,318,34,United Kingdom
12916.0,151,2,1042.53,445,47,United Kingdom
12917.0,42,3,3086.2000000000003,844,38,United Kingdom
12918.0,170,1,10953.5,1,1,United Kingdom
12920.0,115,3,323.86,292,32,United Kingdom
12921.0,2,23,12304.960000000001,8434,130,United Kingdom
12923.0,119,1,426.2,112,17,United Kingdom
12924.0,106,5,1147.99,672,25,United Kingdom
12925.0,136,1,35.28,108,5,United Kingdom
12926.0,191,2,592.51,263,99,United Kingdom
12928.0,41,3,1110.89,701,35,United Kingdom
12931.0,16,27,24232.68,16068,21,United Kingdom
12932.0,83,8,1698.56,1609,69,United Kingdom
12933.0,273,1,155.79,67,27,United Kingdom
12934.0,280,1,181.65,31,2,United Kingdom
12935.0,48,6,1487.33,948,49,United Kingdom
12937.0,7,5,1593.34,976,71,United Kingdom
12939.0,6,8,7842.12,3796,11,United Kingdom
12941.0,268,1,377.49,381,27,United Kingdom
12943.0,102,2,496.5,222,22,United Kingdom
12945.0,200,1,437.16,281,28,United Kingdom
12948.0,274,2,252.48000000000002,224,7,United Kingdom
12949.0,7,11,8003.7,4542,186,United Kingdom
12951.0,43,6,1110.9,478,45,United Kingdom
12953.0,66,1,498.96000000000004,280,31,United Kingdom
12954.0,182,1,162.45,83,10,United Kingdom
12956.0,228,3,413.82,306,23,United Kingdom
12957.0,85,5,4689.43,2137,221,United Kingdom
12958.0,127,1,166.89,39,12,United Kingdom
12959.0,28,1,150.95,109,8,United Kingdom
12960.0,27,3,1145.8700000000001,1228,43,United Kingdom
12963.0,3,3,951.28,548,49,United Kingdom
12969.0,146,1,122.45,55,5,United Kingdom
12970.0,279,1,237.99,172,70,United Kingdom
12971.0,15,14,2751.65,3503,19,United Kingdom
12972.0,126,3,1019.0400000000001,742,61,United Kingdom
12974.0,109,1,264.15,80,24,United Kingdom
12975.0,51,3,1248.19,316,53,United Kingdom
12976.0,21,6,2012.12,1801,81,United Kingdom
12977.0,45,3,474.64,116,45,United Kingdom
12978.0,189,4,1946.46,1120,107,United Kingdom
12979.0,273,1,517.7,520,56,United Arab Emirates
12980.0,0,9,5922.4800000000005,616,6,United Kingdom
12982.0,55,5,1776.26,1184,98,United Kingdom
12983.0,142,1,490.08000000000004,638,30,United Kingdom
12986.0,3,7,2331.1800000000003,1040,59,United Kingdom
12987.0,154,2,460.68,223,24,United Kingdom
12989.0,41,14,4467.64,2264,11,United Kingdom
12990.0,49,2,273.0,140,4,United Kingdom
12992.0,269,1,93.35000000000001,21,6,United Kingdom
12993.0,175,2,436.45,243,23,United Kingdom
12997.0,17,3,578.48,328,27,United Kingdom
12998.0,36,3,920.08,1124,58,United Kingdom
13000.0,269,1,497.65000000000003,169,31,United Kingdom
13001.0,2,16,11328.69,6245,249,United Kingdom
13004.0,7,14,4596.88,2984,193,United Kingdom
13005.0,1,1,229.73,219,17,United Kingdom
13007.0,123,1,175.25,59,11,United Kingdom
13008.0,267,1,189.31,75,11,United Kingdom
13009.0,216,1,234.0,120,4,United Kingdom
13010.0,192,1,177.12,127,6,United Kingdom
13012.0,57,2,787.51,479,44,United Kingdom
13013.0,42,10,4734.76,2635,157,United Kingdom
13015.0,41,3,1897.29,1089,93,United Kingdom
13018.0,114,5,1464.35,797,81,United Kingdom
13019.0,109,4,780.85,217,32,United Kingdom
13020.0,106,2,618.96,278,38,United Kingdom
13021.0,70,4,1230.67,697,55,United Kingdom
13023.0,72,1,759.13,299,36,United Kingdom
13024.0,14,2,555.87,181,26,United Kingdom
13025.0,275,1,323.39,241,13,United Kingdom
13026.0,32,4,757.72,846,24,United Kingdom
13027.0,16,10,7327.2,18120,7,United Kingdom
13029.0,67,1,347.7,38,4,United Kingdom
13031.0,35,3,2146.38,1519,214,United Kingdom
13032.0,3,5,734.3,342,52,United Kingdom
13036.0,228,1,307.1,38,6,United Kingdom
13037.0,6,8,2879.58,1625,150,United Kingdom
13039.0,128,4,1010.73,290,37,United Kingdom
13041.0,41,3,607.08,268,14,United Kingdom
13042.0,142,3,1488.59,812,164,United Kingdom
13044.0,36,10,4287.58,2119,327,United Kingdom
13045.0,30,1,325.44,106,16,United Kingdom
13046.0,0,1,319.94,241,21,United Kingdom
13047.0,14,12,4558.74,1703,91,United Kingdom
13048.0,50,4,1864.04,1164,73,United Kingdom
13050.0,3,12,4055.21,1970,261,United Kingdom
13051.0,122,2,155.8,72,4,United Kingdom
13052.0,94,4,2058.23,835,124,United Kingdom
13053.0,165,1,127.65,47,17,United Kingdom
13056.0,95,1,209.48,158,18,United Kingdom
13057.0,74,3,709.59,456,34,United Kingdom
13059.0,11,7,1906.97,668,144,United Kingdom
13063.0,24,1,188.4,116,12,United Kingdom
13064.0,94,2,561.25,154,19,United Kingdom
13065.0,14,2,398.04,156,20,United Kingdom
13069.0,0,8,2914.84,3904,268,United Kingdom
13070.0,3,3,522.9,262,11,United Kingdom
13071.0,156,1,129.22,30,12,United Kingdom
13074.0,55,4,1378.74,826,26,United Kingdom
13076.0,1,1,135.4,44,9,United Kingdom
13077.0,7,5,1513.3,1255,116,United Kingdom
13078.0,6,24,11382.14,4072,83,United Kingdom
13080.0,105,2,160.75,53,8,United Kingdom
13081.0,17,11,20661.99,15926,440,United Kingdom
13082.0,2,10,3287.12,3530,45,United Kingdom
13084.0,35,1,122.39999999999999,144,2,United Kingdom
13085.0,223,6,2017.2,728,33,United Kingdom
13087.0,270,1,313.64,86,15,United Kingdom
13089.0,6,77,37311.29,20880,404,United Kingdom
13090.0,15,4,1070.77,311,69,United Kingdom
13091.0,273,2,1976.0,873,24,United Kingdom
13092.0,2,6,1532.0,364,42,United Kingdom
13093.0,3,30,25663.92,14410,118,United Kingdom
13097.0,29,15,5805.37,2448,260,United Kingdom
13101.0,42,3,594.21,365,41,United Kingdom
13102.0,11,7,2616.04,1097,66,United Kingdom
13103.0,121,1,123.34,66,6,United Kingdom
13104.0,77,2,278.21999999999997,114,3,United Kingdom
13107.0,86,3,2304.59,2128,67,United Kingdom
13109.0,95,1,347.49,237,23,United Kingdom
13110.0,100,4,947.7,235,62,United Kingdom
13111.0,262,1,321.88000000000005,180,12,United Kingdom
13112.0,85,1,20.6,11,2,United Kingdom
13113.0,38,7,3756.56,983,96,United Kingdom
13114.0,274,1,234.38,74,16,United Kingdom
13115.0,44,4,1788.5,1599,94,United Kingdom
13117.0,20,7,763.8,642,49,United Kingdom
13119.0,212,1,134.9,110,11,United Kingdom
13123.0,16,2,506.75,268,36,United Kingdom
13125.0,67,1,148.62,53,20,United Kingdom
13126.0,43,3,1088.84,747,52,United Kingdom
13128.0,175,1,263.5,31,1,United Kingdom
13129.0,73,1,108.75,219,4,United Kingdom
13131.0,98,3,1393.58,748,70,United Kingdom
13133.0,3,1,90.65,23,5,United Kingdom
13135.0,35,1,275.45,123,17,United Kingdom
13136.0,38,4,2283.52,1178,102,United Kingdom
13137.0,2,2,956.91,560,162,United Kingdom
13140.0,35,1,252.29999999999998,134,34,United Kingdom
13141.0,79,8,3349.24,2221,141,United Kingdom
13143.0,128,1,405.1,198,23,United Kingdom
13145.0,60,2,204.0,48,1,United Kingdom
13148.0,46,9,3305.71,1709,217,United Kingdom
13150.0,28,3,449.96999999999997,171,7,United Kingdom
13151.0,169,2,1207.34,450,71,United Kingdom
13152.0,73,5,1685.25,796,95,United Kingdom
13154.0,51,2,1012.98,616,63,United Kingdom
13155.0,35,1,235.70000000000002,132,15,United Kingdom
13156.0,212,2,1239.6,756,77,United Kingdom
13157.0,18,4,3045.78,2476,104,United Kingdom
13161.0,44,1,359.38,76,25,United Kingdom
13162.0,15,11,7278.02,3808,115,United Kingdom
13163.0,154,1,17.65,3,2,United Kingdom
13164.0,113,2,372.2,120,7,United Kingdom
13168.0,86,1,541.14,228,45,United Kingdom
13169.0,106,1,127.2,24,5,United Kingdom
13173.0,105,8,1672.3,911,109,United Kingdom
13174.0,111,6,3923.28,1764,346,United Kingdom
13175.0,126,2,831.45,423,40,United Kingdom
13178.0,9,8,7118.02,4468,158,United Kingdom
13179.0,162,1,572.3100000000001,368,34,United Kingdom
13180.0,151,1,86.10000000000001,42,4,United Kingdom
13183.0,22,4,1759.22,1062,23,United Kingdom
13187.0,168,3,105.34,201,14,United Kingdom
13190.0,88,3,570.66,308,16,United Kingdom
13191.0,202,1,164.69,115,58,United Kingdom
13192.0,79,4,1646.6399999999999,1034,92,United Kingdom
13196.0,31,2,623.88,430,41,United Kingdom
13197.0,153,1,373.01000000000005,204,19,United Kingdom
13199.0,9,20,4290.15,3557,17,United Kingdom
13201.0,46,4,1233.06,1036,65,United Kingdom
13202.0,88,5,1221.63,443,42,United Kingdom
13203.0,11,4,1002.27,1017,67,United Kingdom
13204.0,275,1,966.6600000000001,428,57,United Kingdom
13206.0,13,12,7994.99,6870,391,United Kingdom
13207.0,156,1,214.20000000000002,36,4,United Kingdom
13208.0,77,2,355.29,197,55,United Kingdom
13209.0,58,5,2617.9,1528,42,United Kingdom
13211.0,55,5,886.0,707,75,United Kingdom
13213.0,49,2,614.95,389,35,United Kingdom
13214.0,28,5,2392.92,2089,157,United Kingdom
13217.0,199,1,132.5,250,1,United Kingdom
13219.0,162,1,76.23,11,11,United Kingdom
13220.0,119,1,516.8,200,32,United Kingdom
13222.0,121,1,88.5,30,1,United Kingdom
13223.0,72,3,604.32,384,4,United Kingdom
13225.0,18,7,8199.81,3395,47,United Kingdom
13230.0,28,11,2043.46,1147,267,United Kingdom
13233.0,238,1,290.63,231,17,United Kingdom
13234.0,216,2,346.5,159,56,United Kingdom
13238.0,134,1,117.0,60,6,United Kingdom
13239.0,35,3,928.9300000000001,752,59,United Kingdom
13240.0,144,3,269.47,109,36,United Kingdom
13242.0,11,3,390.0,200,12,United Kingdom
13243.0,175,1,251.62,152,52,United Kingdom
13246.0,69,1,157.17,107,26,United Kingdom
13249.0,32,5,643.84,496,2,United Kingdom
13250.0,4,2,253.09,107,17,United Kingdom
13252.0,169,1,346.9,126,17,United Kingdom
13253.0,247,1,974.39,883,25,United Kingdom
13255.0,56,1,279.25,230,13,United Kingdom
13259.0,116,6,805.3100000000001,259,141,United Kingdom
13262.0,144,1,232.41,93,26,United Kingdom
13266.0,50,5,1793.26,2034,63,United Kingdom
13267.0,57,9,2779.88,1106,69,United Kingdom
13269.0,49,10,2051.58,2080,86,United Kingdom
13275.0,176,1,177.36,128,44,United Kingdom
13276.0,46,2,595.83,254,104,United Kingdom
13277.0,14,2,153.5,122,7,United Kingdom
13278.0,23,2,634.61,596,37,United Kingdom
13280.0,188,1,478.5,160,25,United Kingdom
13283.0,111,2,279.7,114,13,United Kingdom
13285.0,144,2,655.47,406,42,United Kingdom
13286.0,144,1,734.91,274,46,United Kingdom
13287.0,147,3,781.59,429,46,United Kingdom
13288.0,53,4,852.61,319,7,United Kingdom
13289.0,267,1,307.95,119,16,United Kingdom
13291.0,28,7,2450.61,1129,107,United Kingdom
13292.0,38,2,344.35,105,23,United Kingdom
13293.0,83,4,857.59,378,46,United Kingdom
13294.0,190,1,815.79,543,48,United Kingdom
13295.0,120,1,306.5,274,20,United Kingdom
13296.0,30,4,578.09,467,36,United Kingdom
13297.0,86,1,656.5699999999999,467,35,United Kingdom
13299.0,72,1,351.18,106,21,United Kingdom
13300.0,118,1,314.98,115,17,United Kingdom
13302.0,70,1,95.45,7,2,United Kingdom
13304.0,90,2,616.15,244,30,United Kingdom
13305.0,0,3,1268.75,838,94,United Kingdom
13307.0,31,2,258.34,136,14,United Kingdom
13308.0,140,1,284.86,230,17,United Kingdom
13313.0,23,7,1890.0,1457,78,United Kingdom
13315.0,233,1,310.26,232,22,United Kingdom
13316.0,27,2,3209.29,7161,30,United Kingdom
13317.0,18,8,2404.75,1378,93,United Kingdom
13319.0,28,21,6900.93,2788,163,United Kingdom
13320.0,22,1,306.6,193,22,United Kingdom
13324.0,22,4,1849.07,2412,18,United Kingdom
13327.0,1,10,4337.46,2176,109,United Kingdom
13329.0,41,3,989.0500000000001,730,32,United Kingdom
13330.0,109,2,1219.07,701,39,United Kingdom
13333.0,1,2,863.88,577,48,United Kingdom
13334.0,80,2,2699.48,1434,177,United Kingdom
13337.0,90,1,1575.26,980,87,United Kingdom
13338.0,85,3,1958.6,895,101,United Kingdom
13340.0,42,4,10471.56,3570,69,United Kingdom
13346.0,6,6,299.4,180,4,United Kingdom
13357.0,38,4,3196.11,1791,240,United Kingdom
13360.0,21,3,1082.31,576,40,United Kingdom
13361.0,16,2,1450.5,324,29,United Kingdom
13371.0,49,2,2297.66,1019,75,United Kingdom
13373.0,165,2,2154.85,1654,105,United Kingdom
13377.0,189,1,815.32,285,36,United Kingdom
13381.0,22,4,3103.91,2105,89,United Kingdom
13382.0,162,3,655.65,402,34,United Kingdom
13383.0,87,1,305.28000000000003,288,1,United Kingdom
13384.0,1,2,1923.39,1383,74,United Kingdom
13388.0,147,1,508.55,419,34,United Kingdom
13392.0,221,1,91.14,82,8,United Kingdom
13393.0,127,4,1131.45,662,53,United Kingdom
13394.0,69,8,3085.16,2184,136,United Kingdom
13397.0,121,4,1339.34,846,36,United Kingdom
13399.0,8,3,275.4,120,10,United Kingdom
13400.0,126,1,310.83,284,23,United Kingdom
13402.0,49,2,605.62,438,34,United Kingdom
13403.0,267,1,78.6,44,3,United Kingdom
13405.0,25,3,641.36,690,14,United Kingdom
13406.0,175,1,140.16,96,2,United Kingdom
13407.0,122,3,2244.7,1690,85,United Kingdom
13408.0,0,35,18028.522,10002,149,United Kingdom
13410.0,242,2,682.9200000000001,324,7,United Kingdom
13412.0,164,1,487.34999999999997,176,33,United Kingdom
13413.0,183,6,429.44,455,38,United Kingdom
13414.0,7,3,1103.64,1128,27,United Kingdom
13415.0,16,4,784.17,496,85,United Kingdom
13416.0,280,1,228.3,66,7,United Kingdom
13417.0,91,4,1028.66,370,35,United Kingdom
13418.0,16,8,3494.94,2439,104,United Kingdom
13421.0,30,5,1527.08,769,112,United Kingdom
13425.0,52,2,1766.22,1235,86,United Kingdom
13426.0,3,8,3425.6800000000003,2069,87,United Kingdom
13427.0,21,3,423.93,335,18,United Kingdom
13428.0,58,2,276.76,205,66,United Kingdom
13431.0,78,3,796.0500000000001,361,34,United Kingdom
13432.0,115,2,439.1,217,98,United Kingdom
13433.0,45,4,658.3199999999999,190,22,United Kingdom
13434.0,4,2,716.1,348,14,United Kingdom
13435.0,44,1,323.85,279,14,United Kingdom
13438.0,91,1,46.5,10,1,United Kingdom
13439.0,70,1,284.28000000000003,220,49,United Kingdom
13442.0,211,3,419.87,115,33,United Kingdom
13443.0,97,5,1076.92,741,149,United Kingdom
13444.0,50,1,135.29,105,13,United Kingdom
13445.0,170,1,241.89999999999998,198,7,United Kingdom
